Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Fort Pulaski NM,"352,636","435,661","416,292","408,104","385,751","374,408","387,010","382,945","344,921",,,"360,591"
Fort Raleigh NHS,"311,751","338,212","305,711","282,134","281,833","263,598","264,987","289,885","292,367",,,"274,981"
Fort Scott NHS,"25,322","28,544","27,635","26,219","25,034","25,773","25,966","25,531","29,291",,,"28,948"
Fort Smith NHS,"75,174","63,540","68,678","86,122","87,386","69,584","88,790","111,469","163,636",,,"141,914"
Fort Stanwix NM,"71,263","93,170","103,748","102,874","195,057","129,089","60,819","86,678","94,006",,,"106,936"
Fort Sumter NM,"744,971","785,604","797,713","857,883","842,027","815,007","828,521","840,711","888,330",,,"896,569"
Fort Union NM,"9,171","11,070","10,638","9,575","9,215","8,965","10,934","11,726","11,953",,,"11,676"
Fort Union Trading Post NHS,"11,533","15,141","14,458","12,236","12,677","12,908","11,521","13,605","17,502",,,"13,329"
Fort Vancouver NHS,"894,417","1,017,326","786,989","710,439","681,404","733,540","803,740","818,672","1,092,031",,,"1,081,489"
Fort Washington Park,"484,202","339,370","352,883","409,381","368,824","443,918","466,078","337,433","560,358",,,"317,470"
Fossil Butte NM,"17,727","18,693","19,700","16,552","17,084","17,662","16,623","19,293","20,737",,,"21,978"
Franklin Delano Roosevelt MEM,"2,622,806","2,591,241","2,238,052","2,309,708","2,764,459","2,837,729","2,938,239","3,290,080","4,360,502",,,"3,507,402"
Frederick Douglass NHS,"37,852","43,483","44,699","46,694","53,314","47,625","45,492","53,873","67,387",,,"76,569"
Frederick Law Olmsted NHS,"2,969","5,007","3,285","4,022","8,668","6,570","8,667","9,473","8,935",,,"11,388"
Fredericksburg & Spotsylvania NMP,"473,841","906,175","899,936","908,836","982,324","880,251","873,328","891,917","969,895",,,"919,311"
Friendship Hill NHS,"30,623","31,454","32,562","30,039","34,289","34,372","34,317","34,687","37,847",,,"39,377"
Gates of the Arctic NP & PRES,"11,397","9,975","10,840","11,623","10,899","11,012","12,669","10,745","10,047",,,"11,177"
Gateway NRA,"9,431,021","9,010,522","8,820,757","7,697,727","5,043,863","6,191,246","6,021,713","6,392,565","8,651,770",,,"9,190,610"
Gauley River NRA,"112,262","113,185","107,223","109,780","115,283","135,309","117,354","105,374","115,888",,,"118,733"
General Grant NMEM,"91,436","100,874","119,665","104,769","92,418","83,440","100,622","95,526","109,151",,,"97,005"
George Rogers Clark NHP,"113,688","103,284","118,912","145,596","125,972","128,531","125,218","135,856","126,095",,,"117,268"
George Washington Birthplace NM,"99,975","113,083","128,158","130,647","134,824","131,683","131,984","130,952","129,750",,,"122,457"
George Washington Carver NM,"40,407","38,899","35,068","30,787","30,425","33,061","41,535","37,745","46,397",,,"46,466"
George Washington MEM PKWY,"7,009,630","6,938,309","6,925,099","7,417,397","7,425,577","7,360,392","7,472,150","7,286,463","10,323,339",,,"7,562,793"
Gettysburg NMP,"1,455,951","1,013,002","1,031,554","1,124,659","1,126,577","1,213,349","1,020,702","1,080,185","1,091,320",,,"1,038,649"
Gila Cliff Dwellings NM,"38,987","43,016","32,652","25,317","28,637","27,825","31,135","36,518","41,519",,,"78,872"
Glacier Bay NP & PRES,"418,911","438,361","444,530","431,986","454,337","500,590","500,727","551,353","520,171",,,"547,057"
Glacier NP,"1,808,027","2,031,348","2,200,048","1,853,564","2,162,035","2,190,374","2,338,528","2,366,056","2,946,681",,,"3,305,512"
Glen Canyon NRA,"1,947,507","1,960,345","2,124,467","2,270,817","2,061,328","1,991,924","2,368,452","2,495,093","3,239,525",,,"4,574,940"
Golden Gate NRA,"14,554,750","15,036,372","14,271,503","14,567,487","14,540,338","14,289,121","15,004,420","14,888,537","15,638,777",,,"14,981,897"
Golden Spike NHS,"39,968","45,334","43,561","43,933","42,551","40,704","44,125","59,147","60,027",,,"67,811"
Governors Island NM,"205,010","325,840","409,207","402,174","348,249","355,553","698,227","438,613","522,859",,,"625,653"
Grand Canyon NP,"4,425,314","4,348,068","4,388,386","4,298,178","4,421,352","4,564,840","4,756,771","5,520,736","5,969,811",,,"6,254,238"
Grand Portage NM,"77,323","76,025","113,996","97,440","93,156","88,598","88,877","91,751","95,862",,,"96,051"
Grand Teton NP,"2,485,987","2,580,081","2,669,374","2,587,437","2,705,256","2,688,794","2,791,392","3,149,921","3,270,076",,,"3,317,000"
Grant-Kohrs Ranch NHS,"16,633","20,099","22,075","20,293","17,095","18,848","20,565","22,139","23,176",,,"24,072"
Great Basin NP,"69,235","84,974","88,870","91,451","94,850","92,893","107,526","116,123","144,846",,,"168,028"
Great Sand Dunes NP & PRES,"273,903","289,955","283,284","280,058","254,674","242,841","271,774","299,513","388,308",,,"486,935"
Great Smoky Mountains NP,"9,044,010","9,491,437","9,463,538","9,008,830","9,685,829","9,354,695","10,099,276","10,712,674","11,312,786",,,"11,338,893"
Greenbelt Park,"164,103","188,043","270,661","190,427","145,552","142,742","132,688","135,260","137,900",,,"141,856"
Guadalupe Mountains NP,"163,709","198,882","192,210","152,546","159,360","145,670","166,868","169,535","181,839",,,"225,257"
Guilford Courthouse NMP,"354,077","290,368","285,444","346,617","313,374","541,581","173,261","222,602","321,796",,,"348,991"
Gulf Islands NS,"2,054,201","4,132,674","4,283,747","5,501,872","4,973,462","4,837,965","4,455,240","3,976,883","4,771,309",,,"3,952,941"
Hagerman Fossil Beds NM,"23,163","27,263","29,795","21,100","23,936","21,008","22,482","24,695","25,982",,,"31,122"
Haleakala NP,"1,185,068","1,109,104","1,105,606","956,989","1,094,668","785,300","1,142,040","1,216,772","1,263,558",,,"1,112,390"
Hamilton Grange NMEM,690,150,0,"7,817","16,358","20,429","20,943","35,446","85,348",,,"85,603"
